country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","12-04-2026 20:00:00",16.9872867,81.7363176,NH3,2,3,3
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","12-04-2026 20:00:00",16.9872867,81.7363176,SO2,4,12,6
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","12-04-2026 20:00:00",13.67,79.35,NO2,41,77,52
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-04-2026 20:00:00",13.615387,79.409230,PM10,59,136,69
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","12-04-2026 20:00:00",16.536107,80.594233,PM10,44,397,68
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","12-04-2026 20:00:00",16.536107,80.594233,SO2,18,21,20
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","12-04-2026 20:00:00",16.554731,80.649110,PM2.5,55,86,73
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","12-04-2026 20:00:00",17.72,83.3,NO2,13,76,47
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","12-04-2026 20:00:00",17.72,83.3,SO2,2,109,40
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","12-04-2026 20:00:00",27.103358,93.679645,NH3,1,1,1
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","12-04-2026 20:00:00",14.465052,78.824187,OZONE,26,37,35
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","12-04-2026 20:00:00",16.186555,81.13219,SO2,14,22,15
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","12-04-2026 20:00:00",16.509717,80.612222,PM2.5,43,79,54
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","12-04-2026 20:00:00",16.509717,80.612222,NH3,6,6,6
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","12-04-2026 20:00:00",16.5150833,80.5181667,PM10,32,69,52
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","12-04-2026 20:00:00",16.5150833,80.5181667,NH3,3,6,4
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","12-04-2026 20:00:00",16.711754,81.092095,PM10,31,59,43
